what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405999765535
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1405999813663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999824942
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999826050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999826546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999827259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999831795
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999855368
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999857181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999949544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1405999959492
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000012181
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406000014131
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406000028447
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406000031049
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1406000039587
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406000085625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000092281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000095837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000098216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000099464
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1406000099768
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1406000100252
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1406000100277
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1406000100314
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1406000100344
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1406000100374
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1406000100374
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1406000100374
