what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1406170860475
arch,sysinfo,,,"x86",1406170860475
ws,sysinfo,,,"win32",1406170860475
locale,sysinfo,,,"zh_CN",1406170860475
processors,sysinfo,,,"4",1406170860475
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1406170860475
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1406170860475
java.specification.name,sysinfo,,,"Java Platform API Specification",1406170860475
java.specification.vendor,sysinfo,,,"Oracle Corporation",1406170860475
java.specification.version,sysinfo,,,"1.7",1406170860475
java.vendor,sysinfo,,,"Oracle Corporation",1406170860475
java.version,sysinfo,,,"1.7.0_02",1406170860475
java.vm.info,sysinfo,,,"mixed mode, sharing",1406170860475
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1406170860475
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1406170860475
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1406170860475
java.vm.specification.version,sysinfo,,,"1.7",1406170860475
java.vm.vendor,sysinfo,,,"Oracle Corporation",1406170860475
java.vm.version,sysinfo,,,"22.0-b10",1406170860475
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170868704
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170868780
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170873551
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170873628
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170874944
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1406170875011
